"","Month","Location","Acari","Amphipoda","Aranae","Baetidae","Caenidae","Calamoceratidae","Ceratopogonidae","Chaoboridae","Chironomidae (L)","Chironomidae(pupa)","Cladocera","Colembola","Coleoptera","Coleoptera (larva)","Copepoda","Corixidae","Diptera (adult)","Diptera (pupa)","Dytiscidae","Elmidae","Empididae","Ephemeroptera","Filamentous Algae","Formicidae","Gerrridae","Helicopsychidae","Hemiptera","Hydracarina","Hydropsychidae","Hymenoptera","Insect Remains","Invertebrate eggs","Isoptera","Lampyridae","Leptoceridae","Leptohyphes","Leptophlebiidae","Libellulidae","Naucoridae","Noteridae","Odonata (N)","Organic matter","Orthoptera","Ostracoda","Philopotamidae","Plant Matter","Plecoptera","Pleidae","Pseudoscorpionida","Psocoptera","Psychodidae","Pyralidae","Scales","Sediments","Seeds and Fruits","Shrimp (L)","Simullidae","Staphynilidae","Thysanura","Tingidae","Trichoptera","Trichoptera (L)","Vellidae","Vespidae","Biome","Lat","Lon","Date","Season","Aquatic_Biomass","Terrestrial_Biomass","Main_Source","Biomass_ratio","Resource_richness","Levins_index","EVI_mean","Precip_p1_MERGE","Precip_p15_MERGE"
"1","January","Curralinho",0,0,0,0.019169329,0,0,0,0,0.002875399,0,0.002875399,0,0,0,0,0,0,0.001597444,0,0,0,0.581469649,0.055910543,0,0,0,0,0,0,0,0.204472843,0.000319489,0,0,0,0.051118211,0.07028754,0,0,0,0,0.006389776,0,0.002875399,0,0,0,0,0,0,0.000319489,0,0,0.000319489,0,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.72103,-37.60483,2015-01-20,"Dry",58.1,0,"Aquatic",Inf,14,0.312131219,0.122792857,0,0.125
"2","April","Curralinho",0,0,0,0,0,0.000687758,0,0.045392022,0.101788171,0.000687758,0.002751032,0,0,0,0,0,0,0,0,0,0,0.00343879,0.247592847,0.000687758,0.004126547,0,0,0,0.006877579,0.000687758,0.467675378,0.00343879,0,0,0,0.04264099,0,0,0,0,0,0.006877579,0,0,0,0.063961486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000687758,0,0,0,"CAATINGA",-9.72103,-37.60483,2015-04-14,"Rainy",20.5,0.2,"Aquatic",102.5,17,0.032138697,0.125814288,0.3125,17.5625
"3","July","Curralinho",0,0,0,0.003445306,0,0,0,0,0,0,0,0.802899799,0.001435544,0,0,0,0,0,0.002871088,0.014355441,0,0,0,0.005167959,0,0,0.052253804,0,0.001004881,0,0.096468562,0,0,0,0,0,0,0,0.000287109,0,0.002871088,0,0.004306632,0.002153316,0,0,0,0,0,0.000574218,0,0.000287109,0,0,0,0,0,0.000287109,0.000143554,0,0,0,0,0.009187482,"CAATINGA",-9.72103,-37.60483,2015-07-23,"Rainy",10.3,49.3,"Terrestrial",0.208924949,18,0.390549236,0.274064286,1.0625,14.375
"4","October","Curralinho",0,0,0,0.47979798,0.01010101,0,0,0,0.0003367,0,0.012121212,0,0,0,0,0,0,0,0,0,0,0.094276094,0.076767677,0,0,0,0,0.0003367,0,0,0.218181818,0.078114478,0,0,0,0,0.006060606,0,0,0,0,0,0,0.0003367,0,0,0,0.023569024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.72103,-37.60483,2015-10-20,"Dry",49.9,0.1,"Aquatic",499,12,0.003666571,0.126464286,0,10.0625
"5","January","Ilha do ouro",0,0,0,0.053167922,0,0,0,0.000443066,0.019494905,0.132919805,0,0,0,0,0,0,0.000443066,0,0,0,0,0.354452813,0.070890563,0.009747452,0,0,0,0,0.005316792,0,0.276473195,0,0,0,0,0,0.053167922,0,0,0.00443066,0,0,0,0.001329198,0,0.00443066,0,0,0,0,0.00886132,0,0.00221533,0,0.00221533,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.89194,-37.248,2015-01-20,"Dry",49.3,2.1,"Aquatic",23.47619048,17,0.181617435,0.140621429,0,0.0625
"6","April","Ilha do ouro",0,0.000271248,0,0,0,0,0,0,0.00045208,0,0.009764919,0,0,0,0,0,0,0,0,0,0,0,0.944846293,0,0,0,0,0,0,0,0.027124774,0,0,0,0,0,0,0,0,0,0,0,0,0.008679928,0,0,0,0,0,0,0,0,0.002712477,0.004882459,0,0.001265823,0,0,0,0,0,0,0,0,"CAATINGA",-9.89194,-37.248,2015-04-14,"Rainy",60.8,3,"Aquatic",20.26666667,9,0.200088142,0.135800001,0.25,13.6875
"7","July","Ilha do ouro",0,0.00605449,0.000504541,0.062058527,0,0,0.002522704,0,0.14530777,0,0.095358224,0,0,0,0.002018163,0,0,0,0,0,0,0.090817356,0.130676085,0,0.000504541,0,0,0,0,0,0.363269425,0,0,0,0,0,0.004036327,0,0,0,0,0.049949546,0,0.007568113,0,0,0,0,0,0,0,0,0,0.009081736,0,0,0,0,0,0,0,0,0,0.030272452,"CAATINGA",-9.89194,-37.248,2015-07-23,"Rainy",24.9,6.1,"Aquatic",4.081967213,16,0.150144303,0.21248,2.6875,10.375
"8","October","Ilha do ouro",0,0,0,0.000698934,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000174734,0,0,0,0,0.995981129,0.001747335,0,0,0,0,0,0,0.000873668,0,0,0,0,0,0,0,0,0,0,0,0,0.000174734,0.000174734,0,0,0,0,0,0,0,0.000174734,0,0,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.89194,-37.248,2015-10-20,"Dry",30.5,1.1,"Aquatic",27.72727273,8,0.150144303,0.164400001,0,11.1875
"9","January","Niteroi",0,0,0,0.001518891,0,0.000379723,0,0,0.035883805,0,0.000759446,0,0,0,0,0,0,0,0.003797228,0,0,0,0.905259161,0.00132903,0,0,0,0,0.000189861,0,0.042528954,0,0,0,0,0,0,0,0,0.000949307,0,0,0,0.001708753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005695842,"CAATINGA",-9.76083,-37.43322,2015-01-20,"Dry",35.8,3.3,"Aquatic",10.84848485,12,0.293769032,0.143,0,0
"10","April","Niteroi",0,0,0,0.136176581,0,0,0,0,0.202020202,0,0.000374111,0,0.018705574,0,0,0,0,0,0,0,0,0,0.395061728,0.002992892,0,0,0,0,0.001122334,0,0.153385709,0,0,0,0,0,0.003741115,0,0,0.005611672,0,0.058361392,0,0,0,0,0,0,0,0,0,0.022446689,0,0,0,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.76083,-37.43322,2015-04-14,"Rainy",36.6,3.7,"Aquatic",9.891891892,12,0.053755781,0.15731818,0,20.3125
