,Biome,Location,Lat,Lon,Month,Date,Season,Aquatic_Biomass,Terrestrial_Biomass,Main_Source,Biomass_ratio,Resource_richness,Levins_index,EVI_mean,Precip_p1_MERGE,Precip_p15_MERGE,Acari,Amphipoda,Aranae,Baetidae,Caenidae,Calamoceratidae,Ceratopogonidae,Chaoboridae,Chironomidae (L),Chironomidae(pupa),Cladocera,Colembola,Coleoptera,Coleoptera (larva),Copepoda,Corixidae,Diptera (adult),Diptera (pupa),Dytiscidae,Elmidae,Empididae,Ephemeroptera,Filamentous Algae,Formicidae,Gerrridae,Helicopsychidae,Hemiptera,Hydracarina,Hydropsychidae,Hymenoptera,Insect Remains,Invertebrate eggs,Isoptera,Lampyridae,Leptoceridae,Leptohyphes,Leptophlebiidae,Libellulidae,Naucoridae,Noteridae,Odonata (N),Organic matter,Orthoptera,Ostracoda,Philopotamidae,Plant Matter,Plecoptera,Pleidae,Pseudoscorpionida,Psocoptera,Psychodidae,Pyralidae,Scales,Sediments,Seeds and Fruits,Shrimp (L),Simullidae,Staphynilidae,Thysanura,Tingidae,Trichoptera,Trichoptera (L),Vellidae,Vespidae
1,CAATINGA,Curralinho,-9.72103,-37.60483,January,2015-01-20,Dry,58.1,0,Aquatic,Inf,14,0.312131219,0.122792857,0,0.125,0,0,0,0.138453346,0,0,0,0,0.05362275,0,0.05362275,0,0,0,0,0,0,0.039968038,0,0,0,0.762541572,0.236454104,0,0,0,0,0,0,0,0.452186735,0.01787425,0,0,0,0.226093368,0.265117974,0,0,0,0,0.079936077,0,0.05362275,0,0,0,0,0,0,0.01787425,0,0,0.01787425,0,0,0,0,0,0,0,0,0,0
2,CAATINGA,Curralinho,-9.72103,-37.60483,April,2015-04-14,Rainy,20.5,0.2,Aquatic,102.5,17,0.032138697,0.125814288,0.3125,17.5625,0,0,0,0,0,0.026225139,0,0.213054035,0.319042584,0.026225139,0.052450278,0,0,0,0,0,0,0,0,0,0,0.058641193,0.497587025,0.026225139,0.064238209,0,0,0,0.082931171,0.026225139,0.683867954,0.058641193,0,0,0,0.20649695,0,0,0,0,0,0.082931171,0,0,0,0.252906081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026225139,0,0,0
3,CAATINGA,Curralinho,-9.72103,-37.60483,July,2015-07-23,Rainy,10.3,49.3,Terrestrial,0.208924949,18,0.390549236,0.274064286,1.0625,14.375,0,0,0,0.058696727,0,0,0,0,0,0,0,0.896046762,0.037888574,0,0,0,0,0,0.053582536,0.119814192,0,0,0,0.071888515,0,0,0.22859091,0,0.031699856,0,0.310593885,0,0,0,0,0,0,0,0.016944286,0,0.053582536,0,0.065624936,0.046403837,0,0,0,0,0,0.023962838,0,0.016944286,0,0,0,0,0,0.016944286,0.011981419,0,0,0,0,0.095851354
4,CAATINGA,Curralinho,-9.72103,-37.60483,October,2015-10-20,Dry,49.9,0.1,Aquatic,499,12,0.003666571,0.126464286,0,10.0625,0,0,0,0.692674512,0.100503782,0,0,0,0.018349396,0,0.110096377,0,0,0,0,0,0,0,0,0,0,0.307044124,0.277069805,0,0,0,0,0.018349396,0,0,0.467099366,0.279489674,0,0,0,0,0.077849894,0,0,0,0,0,0,0.018349396,0,0,0,0.153522062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CAATINGA,Ilha do ouro,-9.89194,-37.248,January,2015-01-20,Dry,49.3,2.1,Aquatic,23.47619048,17,0.181617435,0.140621429,0,0.0625,0,0,0,0.230581704,0,0,0,0.021049133,0.139624155,0.364581685,0,0,0,0,0,0,0.021049133,0,0,0,0,0.595359399,0.266252817,0.098729187,0,0,0,0,0.072916337,0,0.525807184,0,0,0,0,0,0.230581704,0,0,0.066563204,0,0,0,0.036458169,0,0.066563204,0,0,0,0,0.094134586,0,0.047067293,0,0.047067293,0,0,0,0,0,0,0,0,0
6,CAATINGA,Ilha do ouro,-9.89194,-37.248,April,2015-04-14,Rainy,60.8,3,Aquatic,20.26666667,9,0.200088142,0.135800001,0.25,13.6875,0,0.0164696,0,0,0,0,0,0,0.021262163,0,0.098817603,0,0,0,0,0,0,0,0,0,0,0,0.972032043,0,0,0,0,0,0,0,0.164696005,0,0,0,0,0,0,0,0,0,0,0,0,0.093166129,0,0,0,0,0,0,0,0,0.05208145,0.069874597,0,0.035578403,0,0,0,0,0,0,0,0
7,CAATINGA,Ilha do ouro,-9.89194,-37.248,July,2015-07-23,Rainy,24.9,6.1,Aquatic,4.081967213,16,0.150144303,0.21248,2.6875,10.375,0,0.077810606,0.022461987,0.249115489,0,0,0.05022653,0,0.381192563,0,0.308801269,0,0,0,0.044923974,0,0,0,0,0,0,0.301359181,0.361491473,0,0.022461987,0,0,0,0,0,0.602718363,0,0,0,0,0,0.063532094,0,0,0,0,0.223493951,0,0.086994902,0,0,0,0,0,0,0,0,0,0.095298141,0,0,0,0,0,0,0,0,0,0.173989804
8,CAATINGA,Ilha do ouro,-9.89194,-37.248,October,2015-10-20,Dry,30.5,1.1,Aquatic,27.72727273,8,0.150144303,0.164400001,0,11.1875,0,0,0,0.026437362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013218681,0,0,0,0,0.997988541,0.04180114,0,0,0,0,0,0,0.02955787,0,0,0,0,0,0,0,0,0,0,0,0,0.013218681,0.013218681,0,0,0,0,0,0,0,0.013218681,0,0,0,0,0,0,0,0,0,0,0
9,CAATINGA,Niteroi,-9.76083,-37.43322,January,2015-01-20,Dry,35.8,3.3,Aquatic,10.84848485,12,0.293769032,0.143,0,0,0,0,0,0.038972955,0,0.019486477,0,0,0.189430211,0,0.027558041,0,0,0,0,0,0,0,0.061621652,0,0,0,0.951451082,0.036455861,0,0,0,0,0.01377902,0,0.206225493,0,0,0,0,0,0,0,0,0.030810826,0,0,0,0.041337061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075470803
10,CAATINGA,Niteroi,-9.76083,-37.43322,April,2015-04-14,Rainy,36.6,3.7,Aquatic,9.891891892,12,0.053755781,0.15731818,0,20.3125,0,0,0,0.369021111,0,0,0,0,0.449466575,0,0.019341962,0,0.136768323,0,0,0,0,0,0,0,0,0,0.628539361,0.054707329,0,0,0,0,0.033501261,0,0.391644876,0,0,0,0,0,0.061164654,0,0,0.074911096,0,0.241581025,0,0,0,0,0,0,0,0,0,0.149822192,0,0,0,0,0,0,0,0,0,0,0,0
