"","event_id","sex_female","n_female","mean_RS_female","sd_RS_female","sex_male","n_male","mean_RS_male","sd_RS_male"
"1","E1","F",19,3.47368421052632,1.12390297389803,"M",1,3,NA
"2","E2","F",13,3.92307692307692,0.640512615220349,"M",7,3.28571428571429,0.755928946018454
"3","E3","F",15,4.13333333333333,0.915475416434127,"M",4,3,1.4142135623731
"4","E4","F",11,3.36363636363636,1.20604537831105,"M",9,2.77777777777778,0.833333333333333
"5","E5","F",9,3.66666666666667,1.22474487139159,"M",11,4.09090909090909,1.04446593573419
"6","E6","F",8,3.625,1.18773493916542,"M",12,3.25,0.753778361444409
"7","E7","F",9,4.33333333333333,1.11803398874989,"M",9,2.88888888888889,0.781735959970572
"8","E8","F",13,4.23076923076923,1.30088727117598,"M",6,2.5,0.836660026534076
"9","E9","F",10,3.7,1.33749350984926,"M",10,3.6,0.843274042711568
"10","E10","F",9,3.55555555555556,1.0137937550497,"M",11,3.54545454545455,0.934198732993827
"11","E11","F",6,4.5,0.547722557505166,"M",14,3.28571428571429,0.726273039202563
"12","E12","F",8,4.25,0.707106781186548,"M",12,3.41666666666667,0.996204919895622
"13","E13","F",9,3.77777777777778,0.97182531580755,"M",11,3.45454545454545,0.820199532264724
"14","E14","F",12,3.58333333333333,0.90033663737852,"M",7,3.14285714285714,0.377964473009227
"15","E15","F",9,4.11111111111111,1.16666666666667,"M",3,2.33333333333333,1.52752523165195
"16","E16","F",13,3.84615384615385,1.46322439872551,"M",7,3.14285714285714,1.21498579258791
"17","E17","F",12,3.83333333333333,1.02985730108887,"M",7,3.57142857142857,1.13389341902768
"18","E18","F",6,4.83333333333333,0.408248290463863,"M",14,3.92857142857143,0.997248963150875
"19","E19","F",6,3.16666666666667,0.983192080250175,"M",14,3.28571428571429,0.726273039202563
"20","E20","F",6,4,1.09544511501033,"M",12,3.08333333333333,0.996204919895622
"21","E21","F",8,4.375,1.06066017177982,"M",12,2.58333333333333,0.668557923421521
"22","E22","F",16,3.125,1.31021626713557,"M",4,2.75,1.70782512765993
"23","E23","F",10,3.8,0.918936583472681,"M",6,3.66666666666667,0.516397779494322
"24","E24","F",6,3.33333333333333,1.211060141639,"M",3,4,1
