"site","date","p1","p3","p7"
"Curralinho",2015-01-20,6.04835796356201,56.8834543228149,114.66094481945
"Curralinho",2015-04-14,0.803121089935303,6.8136043548584,6.8136043548584
"Curralinho",2015-07-23,0,0,0
"Curralinho",2015-10-20,0,0,0
"Ilha do ouro",2015-01-20,2.56631827354431,72.0648596286774,122.282357811928
"Ilha do ouro",2015-04-14,4.10583209991455,8.63854169845581,8.96129086613655
"Ilha do ouro",2015-07-23,0,0,0
"Ilha do ouro",2015-10-20,0,0,0
"Niterói",2015-01-20,2.56631827354431,72.0648596286774,122.282357811928
"Niterói",2015-04-14,4.10583209991455,8.63854169845581,8.96129086613655
"Niterói",2015-07-23,0,0,0
"Niterói",2015-10-20,0,0,0
"UHE Xingó",2015-01-19,10.3356266021729,52.1450357437134,108.612586855888
"UHE Xingó",2015-07-22,0,0,0
"UHE Xingó",2015-10-19,0,0,0
"Amparo",2015-01-21,1.71689319610596,11.804895401001,66.5206855535507
"Amparo",2015-04-15,22.5392246246338,24.6882750988007,24.6882750988007
"Amparo",2015-07-24,0,0,0
"Gararu",2015-04-15,13.4156637191772,22.0542054176331,22.3769545853138
"Gararu",2015-07-24,0,0,0
"Gararu",2015-10-21,0,0,0
"Propriá",2015-01-21,1.71689319610596,11.804895401001,66.5206855535507
"Propriá",2015-04-15,22.5392246246338,24.6882750988007,24.6882750988007
"Propriá",2015-07-21,0,0,0
