CIUFS,Data,Campanha,localidade,Bioma,Nº,CT,CP,PT,Sexo,Estádio,PG,IGS,GRE,PE,PF,Fixado,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,1,33.49,25.91,0.38,M,4,0.002,0.526,F3,0.016,0.002,G,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,2,36.79,28.82,0.53,M,3,0.015,2.830,F3,0.029,0.003,G,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,3,31.79,24.69,0.3,M,2,0.002,0.667,D1,0.008,0.002,G,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,4,37.1,29.49,0.47,M,3,0.009,1.915,D2,0.008,0.006,G,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,5,23.46,19.28,0.14,F,1,0.001,0.714,D1,0.006,0.003,G,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,6,33.19,27.88,0.42,F,4,0.019,4.524,F2,0.018,0.005,G,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,7,31.6,25.83,0.36,F,2,0.018,5.000,F3,0.014,0.004,G,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,8,33.26,25.82,0.38,M,2,0.002,0.526,D1,0.007,0.003,G,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,9,29.83,23.75,0.25,M,4,0.002,0.800,F3,0.009,0.003,,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,10,32.45,25.12,0.32,F,5,0.001,0.313,F3,0.012,0.003,,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,11,34.72,27.06,0.53,F,2,0.003,0.528,D3,0.018,0.005,G,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,12,30.98,25.22,0.32,M,3,0.005,1.563,D1,0.009,0.003,G,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,13,31.47,24.47,0.36,M,3,0.004,1.111,VZ,,0.008,G,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,14,40.25,31.66,0.72,F,3,0.050,6.944,F3,0.042,0.010,FEC,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,15,31.24,26.49,0.34,M,5,0.001,0.294,D1,0.005,0.002,,
1757,1/19/2015,Jan-15,UHE Xingó,Caatinga,16,34.69,27.05,0.44,F,4,0.018,4.091,F2,0.020,0.007,,
