CIUFS,Data,Campanha,localidade,Bioma,Nº,CT,CP,PT,Sexo,Estádio,PG,IGS,GRE,PE,PF,IHS,Fixado
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,1,20.62,16.89,0.08,I,1,0.001,1.250,F3,0.005,,E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,2,23.17,18.66,0.13,M,2,0.002,1.538,VZ,,0.002,,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,3,25.89,21.07,0.19,M,5,0.001,0.526,F3,0.009,,E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,4,32.84,26.37,0.34,M,4,0.004,1.176,F3,0.007,0.007,E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,5,18.82,15.85,0.07,F,1,0.001,1.429,VZ,,0.004,G/E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,6,24.21,20.74,0.14,F,1,0.001,0.714,,0.006,0.003,G/E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,7,27.36,21.69,0.23,M,5,0.002,0.870,F3,0.019,0.007,E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,8,24.19,19.09,0.15,I,1,0.001,0.667,F1,0.007,0.007,,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,9,34.64,28.69,0.53,F,4,0.013,2.453,F2,0.014,0.005,G,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,10,18.77,15.69,0.08,I,1,0.001,1.250,F1,0.005,0.004,,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,11,33.91,27.22,0.38,F,2,0.007,1.842,F3,0.012,0.007,G/E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,12,21.74,17.75,0.12,M,1,0.001,0.833,F2,0.004,0.003,G/E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,13,34.48,28.18,0.41,F,4,0.008,1.951,F3,0.012,0.009,G/E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,14,27.86,22.75,0.2,I,1,0.001,0.500,F3,0.009,0.003,G/E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,15,38.4,31.56,0.64,F,3,0.049,7.656,F3,0.023,0.008,E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,16,29.67,24.24,0.28,F,5,0.001,0.357,D3,1.011,0.004,E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,17,21.18,17.62,0.12,F,1,0.001,0.833,F3,0.006,0.002,G/E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,18,27.58,22.68,0.23,F,5,0.001,0.435,F2,0.015,0.008,,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,19,24.64,19.46,0.14,M,5,0.001,0.714,F1,0.008,0.002,,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,20,32.76,24.63,0.35,M,3,0.004,1.143,F3,0.007,0.012,G/E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,21,32.97,27.81,0.4,M,3,0.004,1.000,F2,0.012,0.006,G,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,22,28.74,23.06,0.25,F,5,0.001,0.400,F1,0.005,0.003,,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,23,27.84,22.09,0.21,F,1,0.001,0.476,F2,0.005,0.002,G/E,
1766,1/21/2015,Jan-15,Gararu,Mata Atlântica,24,34.02,27.22,0.44,F,3,0.033,7.500,F2,0.014,0.008,G/E,
