record_id,sample_id,taxon_id,value
1,1757-01,3,0.2
2,1757-01,9,0.1
3,1757-01,10,0.1
4,1757-01,24,6
5,1757-01,31,0.8
6,1757-01,34,0.1
7,1757-01,52,0.1
8,1757-01,62,0.1
9,1757-02,1,0.1
10,1757-02,9,0.1
11,1757-02,11,2
12,1757-02,20,4
13,1757-02,24,5
14,1757-02,44,0.1
15,1757-02,50,0.5
16,1757-06,9,0.2
17,1757-06,42,1.8
18,1757-07,24,8
19,1757-07,44,0.2
20,1757-09,3,0.1
21,1757-09,18,0.1
22,1757-09,24,0.1
23,1757-09,31,0.5
24,1757-09,52,0.1
25,1757-10,9,0.1
26,1757-10,13,1
27,1757-10,20,2
28,1757-10,22,0.1
29,1757-10,24,8
30,1757-10,27,0.3
31,1757-10,49,0.3
32,1757-14,10,3
33,1757-14,24,1.5
34,1757-14,44,0.1
35,1757-16,31,4.5
36,1757-18,8,0.1
37,1757-18,13,2
38,1757-18,24,8
39,1757-23,31,0.2
40,1757-23,42,0.3
41,1757-23,44,0.5
42,1757-24,14,0.1
43,1757-24,27,0.3
44,1757-24,30,0.9
45,1757-24,44,0.1
46,1757-28,8,0.1
47,1757-28,13,0.2
48,1757-28,31,1.3
49,1757-28,44,0.3
50,1757-28,54,0.1
51,1757-31,9,0.1
52,1757-31,28,0.1
53,1757-31,31,1
54,1757-31,44,0.3
55,1757-35,3,0.1
56,1757-35,8,1
57,1757-35,11,0.5
58,1757-35,24,2
59,1757-35,28,0.1
60,1757-35,44,0.1
61,1757-36,11,1
62,1757-36,23,1
63,1757-36,42,1
64,1757-38,24,8
65,1757-38,61,0.2
66,1757-40,22,3
67,1757-40,24,2
68,1757-40,46,1
69,1757-43,8,3.1
70,1757-43,9,3
71,1757-43,30,2
72,1757-43,32,0.1
73,1757-44,18,0.3
74,1757-44,42,1.2
75,1757-44,44,0.2
76,1757-46,20,3
77,1757-46,28,0.1
78,1757-46,30,5
79,1757-46,49,2
80,1757-46,59,0.1
81,1771-01,31,0.3
82,1771-01,42,12
83,1771-02,10,0.1
84,1771-02,24,6
85,1771-02,31,0.1
86,1771-02,40,0.5
87,1771-02,50,0.3
88,1771-04,5,2
89,1771-04,23,0.2
90,1771-04,50,0.1
91,1771-04,54,0.3
92,1771-06,31,2
93,1771-08,31,1
94,1771-10,18,0.1
95,1771-10,23,0.5
96,1771-10,31,0.5
97,1771-10,42,0.2
98,1771-11,8,0.1
99,1771-11,31,2
100,1771-11,42,3
101,1771-12,3,0.1
102,1771-12,18,0.3
103,1771-12,24,6
104,1771-13,3,0.5
105,1771-13,24,4
